Identifier;Marquee;mrl
camera.3003;C-31 198,5 Tunel Amadeu Torner;rtsp://hello:world@1:554/camera-1
camera.3004;C-31 198 Tunel Amadeu Torner;rtsp://hello:world@1:554/camera-1
camera.0101;T-11 18 Riudoms;rtsp://root:root@10.137.247.69:554/axis-media/media.amp?videocodec=h264
camera.0102;T-11 10 Reus;rtsp://root:root@10.137.247.36:554/axis-media/media.amp?videocodec=h264
camera.0742;AP-7 146,5 Barberà del Valles;rtsp://hello:world@10.137.229.34:554/camera-1
camera.0744;AP-7/B-30 147,7 Barberà;rtsp://hello:world@10.137.229.35:554/camera-1
camera.0745;AP-7/B-30 149 Cerdanyola;rtsp://hello:world@10.137.229.36:554/camera-1
camera.0746;AP-7/B-30 151 Bellaterra;rtsp://hello:world@10.137.229.37:554/camera-1
camera.0789;AP-7 249,5 Constantí;rtsp://hello:world@10.131.65.11:554/camera-1
camera.0787;AP-7 244,73 Tarragona;rtsp://hello:world@10.131.65.9:554/camera-1
camera.1507;C-15 7 C-15 7,000;rtsp://172.28.5.7:554/h264&inst=2
camera.3308;C-33 86,1 Mollet del Valles;rtsp://hello:world@10.131.1.3:554/camera-1
camera.0717;AP-7 49,8 Sant Julià de Ramis;rtsp://sct:sct@10.131.10.3:554/axis-media/media.amp?videocodec=h264
camera.0718;AP-7 55 Girona Nord;rtsp://hello:world@10.131.10.4:554/camera-1
camera.0734;AP-7 130,3 La Roca;rtsp://sct:sct@10.131.100.31:554/axis-media/media.amp?videocodec=h264
camera.0738;AP-7 139,65 Mollet;rtsp://hello:world@10.131.100.33:554/camera-1
camera.0739;AP-7 141,43 Sta. Perpètua;rtsp://hello:world@10.131.100.34:554/camera-1
camera.0741;AP-7 145,65 Sta. Perpètua;rtsp://hello:world@10.131.100.35:554/camera-1
camera.0740;AP-7 143,715 Sta. Perpètua;rtsp://hello:world@10.131.100.36:554/camera-1
camera.0743;AP-7 147 Barberà del Valles;rtsp://hello:world@10.131.100.37:554/camera-1
camera.3309;C-33 88,3 Mollet Sortida 1;rtsp://sct:sct@10.131.100.47:554/axis-media/media.amp?videocodec=h264
camera.3310;C-33 89,16 Mollet Sortida 2;rtsp://sct:sct@10.131.100.48:554/axis-media/media.amp?videocodec=h264
