Identifier;Marquee;sdp
camera.2003;B-20 18,7 ;"v=0\no=- 16838 1236 IN IP4 10.137.228.11\ns=/camera-1\nc=IN IP4 239.137.228.11/127\nb=AS:4500\nt=0 0\na=control:*\na=isma-compliance:1,1.0,1\na=range:npt=0-\nm=video 15002/1 RTP/AVP 96\nb=AS:4500\na=rtpmap:96 MP4V-ES/90000\na=control:trackID=3\na=cliprect:0,0,720,576\na=fmtp:96 profile-level-id=1;config=000001B0F5000001B509000001010000012000845D4C28B42240E31F\na=mpeg4-esid:201\n"
camera.2004;B-20 19,4 ;"v=0\no=- 16838 1236 IN IP4 10.137.228.12\ns=/camera-1\nc=IN IP4 239.137.228.12/127\nb=AS:4500\nt=0 0\na=control:*\na=isma-compliance:1,1.0,1\na=range:npt=0-\nm=video 15002/1 RTP/AVP 96\nb=AS:4500\na=rtpmap:96 MP4V-ES/90000\na=control:trackID=3\na=cliprect:0,0,720,576\na=fmtp:96 profile-level-id=1;config=000001B0F5000001B509000001010000012000845D4C28B42240E31F\na=mpeg4-esid:201\n"
camera.1701;C-17 6 Montcada i Reixac;v=0\no=- 1272929 1272929 IN IP4 10.136.42.220\ns=NKF 1\nt=0 0\na=range:npt=now-\nm=video 55030 RTP/AVP 101\nc=IN IP4 239.136.42.220\na=control:trackID=1\na=rtpmap:101 MP4V-ES/90000\na=fmtp:101 profile-level-id=1\n
camera.1702;C-17 7,25 La Llagosta;v=0\no=- 1272929 1272929 IN IP4 10.136.42.221\ns=NKF 1\nt=0 0\na=range:npt=now-\nm=video 55010 RTP/AVP 101\nc=IN IP4 239.136.42.221\na=control:trackID=1\na=rtpmap:101 MP4V-ES/90000\na=fmtp:101 profile-level-id=1\n
camera.1703;C-17 8,7 La Llagosta;v=0\no=- 1272929 1272929 IN IP4 10.136.42.222\ns=NKF 1\nt=0 0\na=range:npt=now-\nm=video 55014 RTP/AVP 101\nc=IN IP4 239.136.42.222\na=control:trackID=1\na=rtpmap:101 MP4V-ES/90000\na=fmtp:101 profile-level-id=1\n
camera.1707;C-17 14,74 Parets del Vallès;v=0\no=- 1272929 1272929 IN IP4 10.136.42.226\ns=NKF 1\nt=0 0\na=range:npt=now-\nm=video 55020 RTP/AVP 101\nc=IN IP4 239.136.42.226\na=control:trackID=1\na=rtpmap:101 MP4V-ES/90000\na=fmtp:101 profile-level-id=1\n
camera.1710;C-17 18,6 Granollers;v=0\no=- 1272929 1272929 IN IP4 10.136.42.229\ns=NKF 1\nt=0 0\na=range:npt=now-\nm=video 55014 RTP/AVP 101\nc=IN IP4 239.136.42.229\na=control:trackID=1\na=rtpmap:101 MP4V-ES/90000\na=fmtp:101 profile-level-id=1\n
camera.1711;C-17 20,5 Llicà d'Amunt;v=0\no=- 1272929 1272929 IN IP4 10.136.42.230\ns=NKF 1\nt=0 0\na=range:npt=now-\nm=video 55010 RTP/AVP 101\nc=IN IP4 239.136.42.230\na=control:trackID=1\na=rtpmap:101 MP4V-J254ES/90000\na=fmtp:101 profile-level-id=1\n
camera.3105;C-31 211,637 Badalona Centre;"v=0\no=- 16838 1253 IN IP4 10.137.229.70\ns=/camera-1\nc=IN IP4 239.137.229.70/127\nb=AS:4500\nt=0 0\na=control:*\na=isma-compliance:1,1.0,1\na=range:npt=0-\nm=video 15002/1 RTP/AVP 96\nb=AS:4500\na=rtpmap:96 MP4V-ES/90000\na=control:trackID=3\na=cliprect:0,0,720,576\na=fmtp:96 profile-level-id=1;config=000001B0F5000001B509000001010000012000845D4C28B42240E31F\na=mpeg4-esid:201\n"
camera.3303;C-33 78,9 Montcada;"v=0\no=- 16838 1253 IN IP4 10.137.229.98\ns=/camera-1\nc=IN IP4 239.137.229.98/127\nb=AS:4500\nt=0 0\na=control:*\na=isma-compliance:1,1.0,1\na=range:npt=0-\nm=video 15002/1 RTP/AVP 96\nb=AS:4500\na=rtpmap:96 MP4V-ES/90000\na=control:trackID=3\na=cliprect:0,0,720,576\na=fmtp:96 profile-level-id=1;config=000001B0F5000001B509000001010000012000845D4C28B42240E31F\na=mpeg4-esid:201\n"
